trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
16,2025-03-03T09:50:00-05:00,XLV,SELL,Take profit hit at $150.05 (TP: $149.95),669,150.05,1.0,440.54000000001673,0.44079164795183245
17,2025-03-05T13:55:00-05:00,XLV,BUY,Breakout > $149.21 | ADX=28.0 | RSI=62.6 | Vol spike 1.5x | SPY bullish | SL=$149.10 | TP=$149.72,669,149.31,1.0,,
18,2025-03-05T14:05:00-05:00,XLV,SELL,Take profit hit at $149.79 (TP: $149.72),669,149.79,1.0,320.1199999999932,0.3204744768188025
19,2025-03-17T13:50:00-04:00,XLV,BUY,Breakout > $146.80 | ADX=42.3 | RSI=79.5 | Vol spike 1.5x | SPY bullish | SL=$146.75 | TP=$147.13,680,146.88,1.0,,
20,2025-03-17T14:20:00-04:00,XLV,SELL,Price $146.94 < 5-SMA $146.97,680,146.94,1.0,39.800000000001546,0.039848056756449826
21,2025-03-18T15:50:00-04:00,XLV,BUY,Breakout > $147.00 | ADX=28.5 | RSI=63.3 | Vol spike 1.5x | SPY bullish | SL=$146.88 | TP=$147.27,680,147.01,1.0,,
22,2025-03-18T15:55:00-04:00,XLV,SELL,Price $146.89 < 5-SMA $146.94,680,146.89,1.0,-82.60000000000309,-0.08262660576706009
23,2025-03-31T15:40:00-04:00,XLV,BUY,Breakout > $146.30 | ADX=51.1 | RSI=74.7 | Vol spike 1.5x | SPY bullish | SL=$146.20 | TP=$146.85,683,146.42,1.0,,
24,2025-03-31T15:50:00-04:00,XLV,SELL,Stop loss hit at $146.20 (SL: $146.20),683,146.2,1.0,-151.25999999999922,-0.1512511366833896
25,2025-04-02T15:45:00-04:00,XLV,BUY,Breakout > $144.12 | ADX=28.5 | RSI=65.6 | Vol spike 1.5x | SPY bullish | SL=$143.98 | TP=$144.49,693,144.15,1.0,,
26,2025-04-03T09:30:00-04:00,XLV,SELL,Take profit hit at $144.70 (TP: $144.49),693,144.7,1.0,380.14999999998815,0.38054214868420727
27,2025-04-07T13:45:00-04:00,XLV,BUY,Breakout > $134.87 | ADX=31.8 | RSI=74.7 | Vol spike 1.5x | SPY bullish | SL=$134.42 | TP=$136.48,740,135.11,1.0,,
28,2025-04-07T14:10:00-04:00,XLV,SELL,Price $135.14 < 5-SMA $135.25,740,135.14,1.0,21.19999999997981,0.0212037318567866
29,2025-04-08T09:30:00-04:00,XLV,BUY,Breakout > $135.82 | ADX=25.5 | RSI=77.2 | Vol spike 1.5x | SPY bullish | SL=$137.38 | TP=$139.97,723,138.24,1.0,,
30,2025-04-08T10:00:00-04:00,XLV,SELL,Price $137.92 < 5-SMA $138.19,723,137.92,1.0,-232.36000000001562,-0.23247968053955737
31,2025-04-09T13:15:00-04:00,XLV,BUY,Breakout > $132.51 | ADX=44.0 | RSI=80.2 | Vol spike 1.5x | SPY bullish | SL=$133.32 | TP=$135.26,746,133.97,1.0,,
32,2025-04-09T13:20:00-04:00,XLV,SELL,Take profit hit at $136.14 (TP: $135.26),746,136.14,1.0,1617.8199999999906,1.618748838083283
33,2025-04-09T15:50:00-04:00,XLV,BUY,Breakout > $138.58 | ADX=28.2 | RSI=75.7 | Vol spike 1.5x | SPY bullish | SL=$137.94 | TP=$139.88,722,138.59,1.0,,
34,2025-04-10T09:30:00-04:00,XLV,SELL,Stop loss hit at $137.09 (SL: $137.94),722,137.09,1.0,-1084.0,-1.0833177264958531
35,2025-04-11T13:40:00-04:00,XLV,BUY,Breakout > $136.94 | ADX=54.8 | RSI=76.5 | Vol spike 1.5x | SPY bullish | SL=$137.16 | TP=$138.49,727,137.6,1.0,,
36,2025-04-11T13:55:00-04:00,XLV,SELL,Stop loss hit at $137.15 (SL: $137.16),727,137.15,1.0,-328.14999999999173,-0.3280312526865192
37,2025-04-16T09:30:00-04:00,XLV,BUY,Breakout > $137.89 | ADX=22.7 | RSI=72.1 | Vol spike 1.5x | SPY bullish | SL=$138.09 | TP=$138.75,723,138.31,1.0,,
38,2025-04-16T09:35:00-04:00,XLV,SELL,Stop loss hit at $138.00 (SL: $138.09),723,138.0,1.0,-225.13000000000164,-0.2251319586480419
39,2025-04-22T11:55:00-04:00,XLV,BUY,Breakout > $134.68 | ADX=35.8 | RSI=57.7 | Vol spike 1.5x | SPY bullish | SL=$134.57 | TP=$135.14,742,134.76,1.0,,
40,2025-04-22T12:15:00-04:00,XLV,SELL,Price $134.92 < 5-SMA $134.93,742,134.92,1.0,117.71999999999747,0.11772833516612723
