trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
40,2025-06-03T09:50:00-04:00,OKLO,SELL,SELL,1610,52.24,1.0,-49.30000000000183,-0.05858189047206764
41,2025-06-03T12:20:00-04:00,OKLO,BUY,BUY,1647,51.09,1.0,,
42,2025-06-03T12:45:00-04:00,OKLO,SELL,SELL,1647,50.65,1.0,-725.6800000000079,-0.8624034612127102
43,2025-06-03T13:20:00-04:00,OKLO,BUY,BUY,1646,50.69,1.0,,
44,2025-06-03T13:25:00-04:00,OKLO,SELL,SELL,1646,50.53,1.0,-264.3599999999944,-0.3168388410189497
45,2025-06-03T13:30:00-04:00,OKLO,BUY,BUY,1643,50.62,1.0,,
46,2025-06-03T13:40:00-04:00,OKLO,SELL,SELL,1643,50.65,1.0,48.29000000000187,0.05806203848855685
47,2025-06-03T13:45:00-04:00,OKLO,BUY,BUY,1633,50.96,1.0,,
48,2025-06-03T14:00:00-04:00,OKLO,SELL,SELL,1633,50.09,1.0,-1421.7099999999957,-1.7084024884797446
49,2025-06-03T14:20:00-04:00,OKLO,BUY,BUY,1620,50.54,1.0,,
50,2025-06-03T14:25:00-04:00,OKLO,SELL,SELL,1620,50.33,1.0,-341.2000000000014,-0.41672875257402237
51,2025-06-04T09:30:00-04:00,OKLO,BUY,BUY,1606,50.78,1.0,,
52,2025-06-04T09:40:00-04:00,OKLO,SELL,SELL,1606,49.79,1.0,-1590.9400000000032,-1.9507887320351494
53,2025-06-04T11:20:00-04:00,OKLO,BUY,BUY,1702,47.04,1.0,,
54,2025-06-04T14:20:00-04:00,OKLO,SELL,SELL,1702,48.23,1.0,2024.379999999996,2.528481292500858
55,2025-06-04T14:30:00-04:00,OKLO,BUY,BUY,1691,48.47,1.0,,
56,2025-06-04T14:35:00-04:00,OKLO,SELL,SELL,1691,48.45,1.0,-34.81999999999327,-0.04248218450663418
57,2025-06-04T15:10:00-04:00,OKLO,BUY,BUY,1690,48.49,1.0,,
58,2025-06-04T15:15:00-04:00,OKLO,SELL,SELL,1690,48.39,1.0,-170.0000000000024,-0.2074458413820315
59,2025-06-04T15:20:00-04:00,OKLO,BUY,BUY,1686,48.51,1.0,,
60,2025-06-05T10:00:00-04:00,OKLO,SELL,SELL,1686,48.51,1.0,-1.0,-0.0012226603965381105
61,2025-06-05T10:40:00-04:00,OKLO,BUY,BUY,1677,48.75,1.0,,
62,2025-06-05T10:45:00-04:00,OKLO,SELL,SELL,1677,48.5,1.0,-420.25,-0.514037410670328
63,2025-06-05T10:55:00-04:00,OKLO,BUY,BUY,1665,48.88,1.0,,
64,2025-06-05T11:00:00-04:00,OKLO,SELL,SELL,1665,48.34,1.0,-900.0999999999985,-1.1059614529244497
65,2025-06-05T11:10:00-04:00,OKLO,BUY,BUY,1652,48.73,1.0,,
66,2025-06-05T11:15:00-04:00,OKLO,SELL,SELL,1652,48.55,1.0,-298.35999999999956,-0.37061991260942406
67,2025-06-05T11:20:00-04:00,OKLO,BUY,BUY,1640,48.93,1.0,,
68,2025-06-05T11:30:00-04:00,OKLO,SELL,SELL,1640,48.34,1.0,-968.599999999994,-1.2070353487143242
69,2025-06-05T12:00:00-04:00,OKLO,BUY,BUY,1632,48.58,1.0,,
70,2025-06-05T12:05:00-04:00,OKLO,SELL,SELL,1632,48.33,1.0,-409.0,-0.5158698726444676
71,2025-06-05T12:20:00-04:00,OKLO,BUY,BUY,1624,48.58,1.0,,
72,2025-06-05T12:25:00-04:00,OKLO,SELL,SELL,1624,48.38,1.0,-325.7999999999931,-0.41295434484247284
73,2025-06-05T13:10:00-04:00,OKLO,BUY,BUY,1635,48.08,1.0,,
74,2025-06-05T13:15:00-04:00,OKLO,SELL,SELL,1635,47.99,1.0,-148.14999999999395,-0.18845771245537432
75,2025-06-05T15:05:00-04:00,OKLO,BUY,BUY,1666,47.1,1.0,,
76,2025-06-05T15:10:00-04:00,OKLO,SELL,SELL,1666,47.0,1.0,-167.60000000000235,-0.21358589823320412
77,2025-06-05T15:35:00-04:00,OKLO,BUY,BUY,1661,47.13,1.0,,
78,2025-06-06T10:15:00-04:00,OKLO,SELL,SELL,1661,47.3,1.0,281.369999999991,0.3594224255220593
79,2025-06-06T10:20:00-04:00,OKLO,BUY,BUY,1641,47.89,1.0,,
80,2025-06-06T12:55:00-04:00,OKLO,SELL,SELL,1641,49.09,1.0,1968.2000000000046,2.5044379908559184
81,2025-06-06T13:00:00-04:00,OKLO,BUY,BUY,1629,49.39,1.0,,
82,2025-06-06T13:20:00-04:00,OKLO,SELL,SELL,1629,49.3,1.0,-147.61000000000556,-0.18346375239242468
83,2025-06-06T13:35:00-04:00,OKLO,BUY,BUY,1627,49.35,1.0,,
84,2025-06-06T14:40:00-04:00,OKLO,SELL,SELL,1627,49.58,1.0,373.2099999999949,0.46480752788676405
85,2025-06-06T15:00:00-04:00,OKLO,BUY,BUY,1608,50.16,1.0,,
86,2025-06-06T15:20:00-04:00,OKLO,SELL,SELL,1608,50.16,1.0,-1.0,-0.0012397983195277659
87,2025-06-06T15:25:00-04:00,OKLO,BUY,BUY,1607,50.2,1.0,,
88,2025-06-06T15:40:00-04:00,OKLO,SELL,SELL,1607,50.1,1.0,-161.7000000000023,-0.20044029928451648
89,2025-06-06T15:50:00-04:00,OKLO,BUY,BUY,1603,50.21,1.0,,
90,2025-06-09T09:30:00-04:00,OKLO,SELL,SELL,1603,49.74,1.0,-754.4099999999981,-0.9372993092230423
91,2025-06-09T09:40:00-04:00,OKLO,BUY,BUY,1580,50.48,1.0,,
92,2025-06-09T09:55:00-04:00,OKLO,SELL,SELL,1580,50.05,1.0,-680.3999999999995,-0.8530655947762892
93,2025-06-09T10:00:00-04:00,OKLO,BUY,BUY,1564,50.58,1.0,,
94,2025-06-09T12:40:00-04:00,OKLO,SELL,SELL,1564,51.78,1.0,1875.8000000000045,2.3711851577309697
95,2025-06-09T12:50:00-04:00,OKLO,BUY,BUY,1551,52.17,1.0,,
96,2025-06-09T14:20:00-04:00,OKLO,SELL,SELL,1551,52.56,1.0,603.8900000000009,0.7463109888234413
